Search Term,Date,Hour,Minute,User ID,Total Unique Searches,Search Depth,Time after Search
401(k),20180502,18,30,Anonymous-User,1,3,39.00
401(k),20180502,21,45,Anonymous-User,1,7,36.00
401(k),20180514,18,14,7e4bd87f-ff52-e811-811d-c4346bdc0371,1,1,62.00
401(k),20180515,18,50,U001C5Z,1,5,102.00
401(k),20180518,09,24,c48da4f9-dae0-e611-9401-00155d611ed3,1,0,21.00
401(k),20180529,09,22,6aa23d7f-4263-e811-811f-c4346bdcf291,1,2,98.00
401(k),20180622,19,14,Anonymous-User,1,0,0.00
401(k),20180627,15,19,Anonymous-User,1,0,0.00
401(k) contributions 2020,20180411,09,08,Anonymous-User,1,0,6.00
401(k) lapsation,20180412,15,38,Anonymous-User,1,0,7.00
401k,20180412,11,05,Anonymous-User,1,2,21.00
401k,20180412,15,38,Anonymous-User,1,0,0.00
401k,20180426,07,20,Anonymous-User,1,0,0.00
401k,20180429,13,07,Anonymous-User,1,1,79.00
401k,20180510,13,53,Anonymous-User,1,0,822.00
401k,20180516,20,16,U000U6E,1,1,20.00
401k,20180520,21,16,Anonymous-User,1,0,11.00
401k,20180614,12,16,Anonymous-User,1,0,0.00
401k asset allocation,20180408,09,04,3d4f5a5a-53b0-e711-8102-c4346bdcf291,1,0,12.00
401k investments,20180614,12,16,Anonymous-User,1,0,6.00
401k market size,20180626,12,05,b7e26973-f572-e711-9401-00155d614304,1,0,25.00
401k recordkeeping,20180520,21,16,Anonymous-User,1,1,10.00
401k withdrawals,20180507,15,43,Anonymous-User,1,2,336.00
403(b),20180419,10,40,Anonymous-User,1,1,50.00
403(b),20180621,05,36,Anonymous-User,1,0,0.00
435 billion,20180604,10,45,c5efcf93-2c56-e711-8107-5065f38afab1,1,22,2759.00
"4Q 2017, ISSUE",20180518,10,38,U000K9M,1,0,10.00
529,20180426,14,57,6f0dad59-6549-e811-a822-00155d9b3b30,1,0,0.00
529,20180511,12,51,da21653d-d439-e811-bbd3-00155d9b6fb4,1,1,82.00
529,20180514,19,38,Anonymous-User,1,1,33.00
529,20180515,13,13,U00170L,1,0,0.00
529,20180516,14,08,U001E7M,1,0,28.00
529,20180601,10,15,86c2bb30-585f-e811-811f-c4346bdcf291,1,0,0.00
529,20180620,10,34,U000VET,1,1,182.00
529 plan,20180419,16,04,2b36d866-522c-e811-810e-c4346bdc0301,1,0,89.00
529 Plan,20180405,13,54,Anonymous-User,1,0,0.00
529 Plan,20180514,13,45,Anonymous-User,1,0,0.00
529 Plan,20180515,17,09,Anonymous-User,1,0,0.00
529 Plan,20180516,14,09,U001E7M,1,0,219.00
529 Plan,20180529,05,29,U0003LX,1,0,0.00
529 Plan,20180529,15,26,Anonymous-User,1,0,0.00
529 Plan,20180601,08,21,Anonymous-User,1,0,0.00
529 Plan,20180624,14,10,Anonymous-User,1,0,0.00
5500 search,20180601,13,08,Anonymous-User,1,3,78.00
71% of current U.S. households have investible assets,20180601,12,23,Anonymous-User,1,0,42.00
90% of 401k contributions 2020,20180411,09,08,Anonymous-User,1,0,11.00
abbot downing,20180417,15,44,Anonymous-User,1,0,0.00
Aberdeen Islamic Asset Management,20180613,07,53,Anonymous-User,1,0,0.00
Aberdeen Islamic Asset Management Sdn Bhd,20180613,07,53,Anonymous-User,1,0,8.00
absolute return,20180420,09,48,2b36d866-522c-e811-810e-c4346bdc0301,1,0,0.00
absolute return,20180420,11,30,2b36d866-522c-e811-810e-c4346bdc0301,1,0,54.00
absolute return,20180420,15,34,2b36d866-522c-e811-810e-c4346bdc0301,1,0,21.00
