Search Term,Date,Hour,Minute,User ID,Total Unique Searches,Search Depth,Time after Search
client services associate,20180415,22,18,Anonymous-User,1,0,7.00
client transition,20180409,20,08,7ac2cfb5-4617-e811-90ce-00155d9b90b7,1,0,24.00
Clients are now more aware of cost than ever before,20180418,10,40,Anonymous-User,1,1,49.00
clients leaving advisors,20180607,15,47,f71f848c-856a-e811-8120-c4346bdc0301,1,6,78.00
climate infrastructure,20180420,09,37,7b51ecbf-90bc-e611-80fb-5065f38be1c1,1,0,9.00
climate projects,20180420,09,38,7b51ecbf-90bc-e611-80fb-5065f38be1c1,1,0,29.00
climate risk,20180420,09,38,7b51ecbf-90bc-e611-80fb-5065f38be1c1,1,0,0.00
Closed-End Funds,20180403,15,49,d8a4573a-2ee3-e611-9401-00155d611ed3,1,0,8.00
Closed-End Funds,20180410,03,41,Anonymous-User,1,0,0.00
Closed-End Funds,20180418,03,18,Anonymous-User,1,0,2.00
Closed-End Funds,20180620,18,28,Anonymous-User,1,0,0.00
coaching,20180524,16,27,6ef7d8b6-0d48-e811-a822-00155d9b3b30,1,0,126.00
cogent,20180521,10,22,Anonymous-User,1,0,0.00
collective,20180405,14,49,U0012LU,1,0,0.00
Collective investment trust,20180612,14,21,6be9f0f0-9d28-e811-bbd3-00155d9b6fb4,1,0,16.00
Collective investment trust,20180619,12,11,6be9f0f0-9d28-e811-bbd3-00155d9b6fb4,1,0,0.00
Collective Investment Trust,20180521,16,37,9fc5d764-e959-e811-bd6d-00155d9b4cc4,1,1,55.00
collective investment trusts,20180627,10,34,67382780-55ff-e611-93ff-00155d61506f,1,0,453.00
Collective investment trusts,20180504,12,17,Anonymous-User,1,4,825.00
Collective Trust,20180403,12,23,Anonymous-User,1,1,22.00
Collective Trust,20180409,16,14,Anonymous-User,1,2,47.00
Collective Trust,20180527,17,55,Anonymous-User,1,0,0.00
Collective Trust,20180624,19,59,Anonymous-User,1,0,0.00
Collective Trust,20180625,11,08,Anonymous-User,1,0,0.00
collective trusts,20180627,09,46,67382780-55ff-e611-93ff-00155d61506f,1,0,32.00
college saving,20180511,12,52,da21653d-d439-e811-bbd3-00155d9b6fb4,1,0,0.00
college savings,20180620,10,38,U000VET,1,0,117.00
Colombia,20180409,04,27,Anonymous-User,1,0,3.00
Colombia,20180530,23,32,U001ALB,1,0,57.00
Colombia,20180624,08,13,Anonymous-User,1,0,0.00
comission,20180507,16,29,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,877.00
commision based,20180507,16,53,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,25.00
commision only,20180625,10,57,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,6.00
commision-based,20180507,16,54,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,110.00
commission,20180507,16,40,c5efcf93-2c56-e711-8107-5065f38afab1,1,6,1278.00
commission only,20180625,10,57,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,7.00
commodities,20180620,10,13,Anonymous-User,1,0,0.00
Commodities,20180418,03,04,36988d67-7afa-e711-90cd-00155d9b643b,1,0,126.00
Commodities Managers,20180418,03,04,36988d67-7afa-e711-90cd-00155d9b643b,1,0,30.00
compare firms by number of advisors,20180607,10,52,Anonymous-User,1,0,0.00
compensation,20180410,19,28,7d537a18-df39-e811-bbd3-00155d9b6fb4,1,0,35.00
compensation,20180503,15,22,Anonymous-User,1,1,55.00
compensation,20180523,16,32,f7de628b-474d-e811-bd6d-00155d9b58ad,1,4,417.00
compensation,20180523,16,38,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,49.00
compensation,20180611,16,07,Anonymous-User,1,0,0.00
compensation,20180619,12,10,U000EQN,1,0,64.00
compensation,20180619,12,54,37bc49fb-d473-e811-9cca-00155d9b44f8,1,0,68.00
compensation,20180621,17,09,Anonymous-User,1,3,103.00
Compensation,20180502,04,27,Anonymous-User,1,9,179.00
Compensation,20180508,17,56,Anonymous-User,1,1,21.00
Compensation,20180523,16,29,f7de628b-474d-e811-bd6d-00155d9b58ad,1,0,182.00
Compensation,20180524,12,39,Anonymous-User,1,1,39.00
Compensation,20180525,14,06,Anonymous-User,1,2,79.00
Compensation,20180611,20,56,Anonymous-User,1,1,28.00
Compensation,20180620,14,35,Anonymous-User,1,0,0.00
Compensation,20180621,17,10,Anonymous-User,1,0,77.00
compensation institutional,20180523,16,39,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,332.00
compensation survey,20180619,12,14,U000EQN,1,0,16.00
compliance,20180511,10,04,6ab814fd-2055-e811-811e-c4346bdc0371,1,2,106.00
compliance,20180613,16,34,U0003MK,1,0,0.00
Compliance,20180411,06,51,Anonymous-User,1,3,64.00
Compliance,20180419,11,38,bac07cda-ec3e-e811-a822-00155d9b3b30,1,0,0.00
compliance benchmark,20180613,16,25,U0003MK,1,0,9.00
compliance department,20180613,16,23,U0003MK,1,0,95.00
concierge,20180625,09,23,Anonymous-User,1,0,43.00
conflict of interest,20180523,13,45,c5efcf93-2c56-e711-8107-5065f38afab1,1,3,419.00
conflict of interest,20180523,13,54,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,255.00
consolidate platforms,20180410,10,57,U001KI4,1,0,48.00
consult,20180628,23,05,Anonymous-User,1,0,0.00
consultant,20180410,10,16,U0012VW,1,2,122.00
consultant,20180416,10,46,Anonymous-User,1,1,1041.00
consultant,20180416,13,36,Anonymous-User,1,0,53.00
consultant,20180416,16,33,U001BII,1,1,13.00
consultant,20180515,13,53,Anonymous-User,1,1,52.00
consultant,20180628,11,19,deb26090-2fbd-e611-80fa-5065f38a5961,1,0,0.00
Consultant,20180403,10,14,Anonymous-User,1,3,942.00
consultant assets,20180514,16,39,Anonymous-User,1,0,0.00
consultants,20180405,16,45,Anonymous-User,1,0,0.00
consultants,20180416,10,37,Anonymous-User,1,8,194.00
consultants,20180425,11,34,Anonymous-User,1,1,365.00
consultants,20180605,10,20,7378da62-32d5-e711-8107-c4346bdcf291,1,0,435.00
Consumer,20180605,13,58,Anonymous-User,1,5,214.00
Consumers,20180607,18,08,764f6f7a-8b6a-e811-8120-c4346bdc0301,1,4,120.00
Consumers,20180614,11,13,Anonymous-User,1,6,370.00
Consumers,20180624,06,00,Anonymous-User,1,1,30.00
Consumers,20180626,14,45,Anonymous-User,1,0,0.00
Continuing Education,20180404,10,57,U0003MK,1,0,0.00
continuity planning,20180521,13,20,U001EXA,1,1,34.00
cornerstone,20180529,10,52,U000Y4G,1,4,79.00
corporate services,20180405,11,53,5df8c7bf-4feb-e711-8109-c4346bdcf291,1,0,22.00
corporate servicesw,20180405,11,53,5df8c7bf-4feb-e711-8109-c4346bdcf291,1,0,5.00
corporate social responsibility,20180508,10,26,b1aac45d-55df-e711-810b-c4346bdca201,1,3,597.00
correspondent,20180525,12,17,3b7a3810-6b3a-e711-8104-5065f38a5961,1,0,82.00
correspondent clearing,20180525,12,44,3b7a3810-6b3a-e711-8104-5065f38a5961,1,1,115.00
cost budgeting,20180607,09,45,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,0.00
COST OF FINANCIAL WELLNESS,20180517,09,33,041bcfa0-3b08-e811-90cd-00155d9b643b,1,0,1725.00
cost of investment advisors,20180601,16,48,Anonymous-User,1,3,39.00
cost per client,20180424,19,11,90016c60-450b-e711-9403-00155d615d9c,1,0,10.00
costomer satisfaction,20180614,10,28,Anonymous-User,1,0,8.00
CPC,20180425,10,32,U001HPR,1,0,12.00
credit card,20180605,13,49,a4101800-6362-e711-8104-5065f38bf1b1,1,0,0.00
cross border managers,20180518,19,34,U001GJJ,1,1,147.00
cross sell,20180525,12,25,3b7a3810-6b3a-e711-8104-5065f38a5961,1,0,985.00
Cross-Border Distribution to High-Net-Worth and Pension Markets,20180416,05,13,Anonymous-User,1,0,1411.00
crossover,20180525,12,18,3b7a3810-6b3a-e711-8104-5065f38a5961,1,0,399.00
crypto,20180419,16,40,2b36d866-522c-e811-810e-c4346bdc0301,1,0,11.00
crypto,20180629,12,20,6ef7d8b6-0d48-e811-a822-00155d9b3b30,1,1,6.00
cryptocurrencies,20180420,08,53,2b36d866-522c-e811-810e-c4346bdc0301,1,0,14.00
cryptocurrency,20180420,08,53,2b36d866-522c-e811-810e-c4346bdc0301,1,0,1299.00
cryptocurrency,20180528,14,40,b1aac45d-55df-e711-810b-c4346bdca201,1,2,1911.00
CSR,20180508,10,26,b1aac45d-55df-e711-810b-c4346bdca201,1,1,30.00
cuna,20180529,15,38,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,138.00
cuna,20180530,09,44,c5efcf93-2c56-e711-8107-5065f38afab1,1,2,69.00
current challenges,20180613,16,15,Anonymous-User,1,6,94.00
custodian,20180404,15,34,Anonymous-User,1,0,0.00
custodian,20180404,16,06,Anonymous-User,1,0,0.00
custodian,20180613,14,01,3a052efb-8063-e811-8120-c4346bdc0371,1,1,32.00
custodian,20180615,11,03,3a052efb-8063-e811-8120-c4346bdc0371,1,2,295.00
custodian ranking by aum,20180509,16,09,Anonymous-User,1,0,0.00
custodians,20180504,18,26,12f60325-6ad4-e711-8107-c4346bdcf291,1,0,157.00
custody,20180504,18,23,12f60325-6ad4-e711-8107-c4346bdcf291,1,0,118.00
custody,20180525,12,08,3b7a3810-6b3a-e711-8104-5065f38a5961,1,0,560.00
custody,20180613,13,54,3a052efb-8063-e811-8120-c4346bdc0371,1,0,99.00
custom institutional investing solutions,20180425,21,44,Anonymous-User,1,12,1093.00
custom institutional strategies,20180419,09,20,5b4d3276-e55c-e711-8108-5065f38afab1,1,0,8.00
custom LDI,20180622,13,47,2b36d866-522c-e811-810e-c4346bdc0301,1,0,46.00
custom models,20180601,14,22,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,7.00
custom portfolios,20180514,13,37,041bcfa0-3b08-e811-90cd-00155d9b643b,1,0,173.00
custom solutinos,20180606,15,44,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,7.00
custom solutions,20180606,15,44,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,0.00
custom solutions,20180607,11,44,U0003MK,1,1,9.00
custom solutions,20180626,08,09,8f35ba0d-e22f-e711-9400-00155d613980,1,2,404.00
customer,20180614,10,29,Anonymous-User,1,0,20.00
customer,20180626,14,15,Anonymous-User,1,0,59.00
customer acquisition cost,20180626,14,16,Anonymous-User,1,0,0.00
customer analytics market research,20180621,10,28,db94d40e-7c6a-e811-9cca-00155d9b44f8,1,9,264.00
customer contact,20180410,12,51,9ab8c295-4004-e711-80fc-5065f38bf1b1,1,0,0.00
customer journey,20180406,12,56,dd2a3809-2029-e811-bbd3-00155d9b6fb4,1,1,431.00
customer Satisfaction,20180614,10,29,Anonymous-User,1,4,83.00
customer surveys,20180614,10,51,Anonymous-User,1,0,14.00
customizable,20180420,06,33,Anonymous-User,1,6,60.00
Cutting Fees is Only Part of the Solution,20180515,16,36,c5efcf93-2c56-e711-8107-5065f38afab1,1,5,815.00
cyber,20180611,06,59,Anonymous-User,1,0,0.00
cyrptocurrency,20180629,12,20,6ef7d8b6-0d48-e811-a822-00155d9b3b30,1,0,4.00
DAF,20180525,12,51,3b7a3810-6b3a-e711-8104-5065f38a5961,1,0,12.00
data,20180423,17,38,b1aac45d-55df-e711-810b-c4346bdca201,1,0,76.00
data,20180521,12,29,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,62.00
data analytics,20180521,12,26,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,176.00
data analytics,20180521,12,39,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,12.00
data wealth management,20180521,12,29,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,6.00
database,20180420,11,36,4121dbc6-c0b9-e711-8103-c4346bdc0301,1,9,174.00
db admin,20180629,10,11,2b36d866-522c-e811-810e-c4346bdc0301,1,0,11.00
DC,20180612,13,53,8f35ba0d-e22f-e711-9400-00155d613980,1,1,269.00
dc advisor,20180509,14,18,U001LRR,1,9,602.00
DC Advisor firms,20180514,14,45,ab3df609-eb22-e811-8110-c4346bdca201,1,1,12.00
DC pensions,20180520,08,00,Anonymous-User,1,1,121.00
DC trends,20180420,12,31,30dbd37d-8ff5-e711-90cd-00155d9b643b,1,0,23.00
dcio,20180403,08,30,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,423.00
dcio,20180403,09,23,e2405d60-b9a7-e711-9401-00155d9b7010,1,3,44.00
dcio,20180418,14,11,e2405d60-b9a7-e711-9401-00155d9b7010,1,5,977.00
dcio,20180424,08,56,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,936.00
dcio,20180425,16,55,U001I71,1,1,24.00
dcio,20180425,17,29,U001I71,1,2,33.00
dcio,20180426,10,13,U001I71,1,1,105.00
dcio,20180427,10,14,U001I71,1,0,38.00
dcio,20180430,10,19,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,7.00
dcio,20180430,10,46,U001I71,1,2,242.00
dcio,20180430,16,45,U001I71,1,0,10.00
dcio,20180501,07,37,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,25.00
dcio,20180515,18,49,U001C5Z,1,0,18.00
dcio,20180525,10,06,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,23.00
dcio,20180525,11,43,Anonymous-User,1,0,22.00
dcio,20180605,10,50,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,3293.00
DCIO,20180409,10,50,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,18.00
DCIO,20180409,17,45,Anonymous-User,1,0,0.00
DCIO,20180413,09,08,112be3c5-d526-e811-bbd3-00155d9b3547,1,0,0.00
DCIO,20180417,10,21,Anonymous-User,1,0,0.00
DCIO,20180417,17,05,e2405d60-b9a7-e711-9401-00155d9b7010,1,6,264.00
DCIO,20180425,17,54,Anonymous-User,1,8,939.00
DCIO,20180508,15,47,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,18.00
DCIO,20180508,17,27,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,99.00
DCIO,20180508,17,35,Anonymous-User,1,0,0.00
DCIO,20180508,21,20,Anonymous-User,1,0,0.00
DCIO,20180509,18,00,Anonymous-User,1,0,0.00
DCIO,20180509,19,20,Anonymous-User,1,0,0.00
DCIO,20180515,14,22,Anonymous-User,1,0,0.00
DCIO,20180516,14,51,U001JI3,1,0,87.00
DCIO,20180518,09,38,Anonymous-User,1,0,35.00
DCIO,20180625,08,42,Anonymous-User,1,0,0.00
DCIO,20180629,13,34,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,136.00
DCIO,20180629,16,22,Anonymous-User,1,1,28.00
de-accumulation,20180427,15,12,U001K1M,1,2,60.00
dechannelization,20180516,09,51,Anonymous-User,1,0,8.00
decu,20180412,18,42,768859f3-3f1b-e811-90ce-00155d9b412e,1,0,130.00
decumulation,20180412,18,44,768859f3-3f1b-e811-90ce-00155d9b412e,1,2,537.00
decumulation,20180412,18,52,82293565-bba6-e611-9403-00155d6148c2,1,0,11.00
defined benefit,20180403,14,24,c5efcf93-2c56-e711-8107-5065f38afab1,1,3,63.00
defined benefit,20180412,09,56,c5efcf93-2c56-e711-8107-5065f38afab1,1,1,553.00
defined benefit,20180531,11,42,U001AB0,1,0,0.00
defined benefit,20180629,10,12,2b36d866-522c-e811-810e-c4346bdc0301,1,1,1147.00
Defined Benefit,20180507,20,46,Anonymous-User,1,1,52.00
Defined Benefit,20180627,12,24,U001417,1,0,0.00
Defined Benefit,20180627,13,53,77bfb8f7-45a2-e611-9403-00155d611771,1,0,2596.00
Defined Benefit,20180627,17,14,77bfb8f7-45a2-e611-9403-00155d611771,1,3,239.00
defined benefit admin,20180625,14,01,2b36d866-522c-e811-810e-c4346bdc0301,1,0,0.00
defined benefit admin,20180629,10,11,2b36d866-522c-e811-810e-c4346bdc0301,1,0,10.00
Defined benefit asset allocation,20180426,16,43,Anonymous-User,1,0,20.00
defined c,20180618,08,14,8f35ba0d-e22f-e711-9400-00155d613980,1,0,12.00
defined contribution,20180405,16,51,Anonymous-User,1,1,1809.00
defined contribution,20180409,18,03,bc6089b4-a3e5-e711-9403-00155d9b700f,1,8,2434.00
defined contribution,20180412,18,53,768859f3-3f1b-e811-90ce-00155d9b412e,1,0,16.00
defined contribution,20180417,17,42,Anonymous-User,1,1,45.00
defined contribution,20180420,12,31,30dbd37d-8ff5-e711-90cd-00155d9b643b,1,1,41.00
defined contribution,20180424,10,35,Anonymous-User,1,14,467.00
defined contribution,20180425,10,46,U001JWP,1,1,46.00
defined contribution,20180509,18,46,84d091de-0b31-e711-80ff-5065f38bf1b1,1,0,0.00
defined contribution,20180510,17,32,84d091de-0b31-e711-80ff-5065f38bf1b1,1,0,0.00
defined contribution,20180511,10,44,84d091de-0b31-e711-80ff-5065f38bf1b1,1,0,11.00
defined contribution,20180511,16,39,63b8df90-fc26-e811-810d-c4346bdcf291,1,0,338.00
defined contribution,20180513,17,14,84d091de-0b31-e711-80ff-5065f38bf1b1,1,0,0.00
defined contribution,20180516,15,16,Anonymous-User,1,1,2153.00
defined contribution,20180518,14,35,c5efcf93-2c56-e711-8107-5065f38afab1,1,2,118.00
defined contribution,20180524,12,30,2e6677b2-19ee-e611-93ff-00155d611931,1,0,28.00
defined contribution,20180525,11,43,Anonymous-User,1,0,181.00
defined contribution,20180525,13,55,Anonymous-User,1,1,132.00
defined contribution,20180529,16,34,Anonymous-User,1,0,0.00
defined contribution,20180530,23,26,U0015WX,1,0,89.00
defined contribution,20180605,11,45,e2405d60-b9a7-e711-9401-00155d9b7010,1,0,0.00
defined contribution,20180606,22,56,U000U6E,1,0,300.00
defined contribution,20180607,09,42,8f35ba0d-e22f-e711-9400-00155d613980,1,0,20.00
defined contribution,20180607,12,51,8f35ba0d-e22f-e711-9400-00155d613980,1,0,0.00
defined contribution,20180618,18,54,U0016SH,1,0,34.00
defined contribution,20180619,19,55,U001FIS,1,0,0.00
defined contribution,20180625,10,59,daf5bc05-b53d-e811-a822-00155d9b3b30,1,0,38.00
defined contribution,20180628,13,13,Anonymous-User,1,3,448.00
Defined contribution,20180514,09,58,U001KQS,1,0,44.00
Defined Contribution,20180402,14,53,d8a4573a-2ee3-e611-9401-00155d611ed3,1,4,100.00
Defined Contribution,20180417,17,42,Anonymous-User,1,0,0.00
Defined Contribution,20180514,18,15,7e4bd87f-ff52-e811-811d-c4346bdc0371,1,16,512.00
Defined Contribution,20180624,09,20,Anonymous-User,1,0,0.00
defined contribution distribution,20180402,11,26,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,4.00
defined contribution distribution,20180511,10,45,84d091de-0b31-e711-80ff-5065f38bf1b1,1,0,14.00
defined contribution distribution,20180513,17,14,84d091de-0b31-e711-80ff-5065f38bf1b1,1,0,3.00
defined contribution distribution,20180515,15,04,84d091de-0b31-e711-80ff-5065f38bf1b1,1,1,33.00
defined contribution plan assets,20180419,10,06,U001GY4,1,0,16.00
Defined Contribution Plan Recordkeeping,20180627,09,30,77bfb8f7-45a2-e611-9403-00155d611771,1,0,12.00
Defined Contribution Plan Recordkeeping and Administration,20180627,09,30,77bfb8f7-45a2-e611-9403-00155d611771,1,1,23.00
defined contributions,20180614,17,54,U0016SH,1,0,0.00
defined contriobution,20180618,08,13,8f35ba0d-e22f-e711-9400-00155d613980,1,2,72.00
definitions,20180412,22,34,U001CV8,1,5,54.00
denmark,20180626,09,55,Anonymous-User,1,0,0.00
deposits,20180413,13,23,U001K1M,1,6,229.00
DERISKING,20180402,10,05,7b51ecbf-90bc-e611-80fb-5065f38be1c1,1,0,0.00
derisking glidepath,20180403,16,28,Anonymous-User,1,0,244.00
DERISKING SURVEY 2017,20180402,10,05,7b51ecbf-90bc-e611-80fb-5065f38be1c1,1,0,7.00
desire to help others reach,20180614,13,48,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,13.00
digital,20180409,08,31,U00103G,1,0,0.00
digital,20180413,13,21,Anonymous-User,1,3,68.00
digital,20180629,11,47,d9ff79ae-2968-e811-8124-c4346bdca201,1,0,651.00
digital advice,20180409,17,46,U0014HI,1,1,10.00
digital advice,20180410,01,11,Anonymous-User,1,0,0.00
digital advice,20180424,03,34,7526ec6a-60d3-e611-80fc-5065f38afab1,1,0,124.00
digital advice,20180427,04,35,7526ec6a-60d3-e611-80fc-5065f38afab1,1,0,16.00
digital advice,20180605,15,39,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,0.00
digital advice,20180606,09,31,U001715,1,0,85.00
digital advice,20180608,10,59,U001A4G,1,0,0.00
digital advice,20180620,14,35,45ac34c6-a923-e811-8110-c4346bdca201,1,0,9.00
digital advice,20180620,14,39,9b47a6e9-3d87-e711-9402-00155d614aa6,1,0,13.00
Digital Advice,20180619,12,31,U001BYJ,1,0,7.00
digital advice 2022,20180424,03,36,7526ec6a-60d3-e611-80fc-5065f38afab1,1,0,4.00
digital advice adoption,20180404,10,31,993361d5-50d4-e711-9404-00155d9b6db4,1,0,5.00
digital advice and retail direct,20180507,15,33,Anonymous-User,1,0,8.00
Digital advice landscape,20180417,05,13,U001H74,1,0,9.00
digital advice providers,20180417,05,10,U001H74,1,0,107.00
digital advice providers,20180613,06,12,U001H74,1,0,45.00
digital advisory,20180613,06,05,U001H74,1,2,439.00
digital advisory year is review,20180629,11,58,d9ff79ae-2968-e811-8124-c4346bdca201,1,0,0.00
digital advisory year is review,20180629,15,53,d9ff79ae-2968-e811-8124-c4346bdca201,1,3,693.00
digital financial advice,20180606,09,40,U001715,1,1,22.00
digital financial advice market,20180522,18,25,Anonymous-User,1,1,19.00
digital hybrid,20180516,11,46,90016c60-450b-e711-9403-00155d615d9c,1,0,1712.00
digital transfortmation retirement plan,20180529,01,09,Anonymous-User,1,0,0.00
direct,20180524,16,46,c5efcf93-2c56-e711-8107-5065f38afab1,1,1,485.00
Direct,20180427,15,11,U001LDP,1,0,33.00
direct banking,20180413,13,22,U001K1M,1,4,79.00
direct broker dealers,20180604,11,22,07631dd7-6b87-e711-810b-5065f38afab1,1,0,39.00
direct channel,20180508,15,30,dfd03f16-e1fa-e711-90cd-00155d9b643b,1,0,30.00
direct channel,20180614,11,26,U0019PJ,1,7,137.00
direct index,20180614,09,52,c5efcf93-2c56-e711-8107-5065f38afab1,1,5,415.00
direct indexing,20180518,13,22,8fdb60c0-cefa-e711-90cd-00155d9b643b,1,0,13.00
direct indexing,20180613,13,39,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,6.00
direct indexing,20180614,09,51,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,22.00
direct investing,20180621,15,45,U0019PJ,1,0,147.00
direct provider,20180413,06,21,7526ec6a-60d3-e611-80fc-5065f38afab1,1,1,13.00
direct provider,20180524,16,03,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,0.00
direct sales,20180518,14,02,Anonymous-User,1,2,37.00
direct to client,20180521,13,08,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,71.00
direct to consumer,20180612,10,59,U001DBM,1,0,109.00
Direct-to-client,20180521,11,12,U001LCE,1,0,124.00
Direct-to-client,20180521,12,35,U001LCE,1,2,1339.00
Direct-to-client,20180521,13,03,Anonymous-User,1,0,0.00
Direct-to-client,20180521,13,05,Anonymous-User,1,0,0.00
disability,20180405,13,11,U001DBM,1,0,0.00
disconnected legacy platforms,20180611,14,01,U001KI4,1,0,7.00
discounts,20180430,19,08,7ce2d8c0-2751-e711-8107-5065f38afab1,1,0,0.00
discretionary portfolio management,20180627,08,18,U001D8H,1,0,307.00
disrupt,20180404,21,45,Anonymous-User,1,0,29.00
disrupt,20180405,10,47,Anonymous-User,1,12,135.00
disruption,20180405,11,42,e83bf047-d82d-e811-810e-c4346bdc0301,1,1,141.00
dissuaded from cashing out,20180508,11,39,Anonymous-User,1,0,11.00
distributiom,20180606,04,17,Anonymous-User,1,0,7.00
distribution,20180405,16,17,Anonymous-User,1,0,910.00
distribution,20180503,13,41,U001D75,1,0,79.00
distribution,20180516,16,45,45ac34c6-a923-e811-8110-c4346bdca201,1,0,1078.00
distribution,20180517,10,21,Anonymous-User,1,2,53.00
distribution,20180522,10,45,U0004E3,1,9,515.00
distribution,20180530,10,20,U00052T,1,1,24.00
distribution,20180531,11,44,U001IUR,1,1,265.00
distribution,20180606,04,17,Anonymous-User,1,0,0.00
distribution,20180607,13,32,U001BII,1,1,67.00
distribution,20180611,04,35,U001COK,1,1,40.00
distribution,20180611,10,51,34b5c187-4a1e-e811-810c-c4346bdc0301,1,1,131.00
distribution,20180612,09,51,36fb9e6c-186e-e811-9cca-00155d9b44f8,1,8,489.00
distribution,20180612,15,37,U001BII,1,0,31.00
distribution,20180625,17,01,U0010L0,1,7,1021.00
Distribution,20180425,04,37,U000XR9,1,0,58.00
Distribution,20180529,08,37,Anonymous-User,1,1,425.00
Distribution 2018,20180626,12,51,db94d40e-7c6a-e811-9cca-00155d9b44f8,1,0,22.00
distribution channel,20180614,02,12,Anonymous-User,1,1,45.00
distribution dynamics,20180604,11,14,38cd0260-a923-e811-8110-c4346bdca201,1,1,34.00
distribution dynamics,20180626,09,20,db94d40e-7c6a-e811-9cca-00155d9b44f8,1,1,30.00
distribution dynamics,20180629,11,09,db94d40e-7c6a-e811-9cca-00155d9b44f8,1,1,559.00
Distribution Dynamics,20180627,14,29,db94d40e-7c6a-e811-9cca-00155d9b44f8,1,1,20.00
Distribution Dynamics,20180628,15,41,db94d40e-7c6a-e811-9cca-00155d9b44f8,1,1,198.00
distribution intermediaries,20180420,17,00,8761690c-9d44-e811-a822-00155d9b3b30,1,0,17.00
distribution networks,20180419,10,41,b94202d5-7c2f-e711-9400-00155d613980,1,0,26.00
distribution networks,20180419,17,56,b94202d5-7c2f-e711-9400-00155d613980,1,0,0.00
Distribution of RIO Households' Investable,20180612,16,05,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,0.00
distribution reports,20180625,03,57,Anonymous-User,1,0,5.00
diversification,20180517,10,02,041bcfa0-3b08-e811-90cd-00155d9b643b,1,0,553.00
diversification,20180522,17,13,041bcfa0-3b08-e811-90cd-00155d9b643b,1,2,64.00
diversification,20180523,08,43,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,347.00
diversified,20180523,08,49,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,181.00
diversify,20180523,08,49,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,20.00
diversity,20180412,12,50,Anonymous-User,1,0,0.00
diversity,20180427,14,54,Anonymous-User,1,4,254.00
diversity,20180427,14,57,Anonymous-User,1,0,0.00
diversity,20180522,19,04,67e35b96-d261-e711-9401-00155d614304,1,0,0.00
diversity and recruitment,20180522,19,04,67e35b96-d261-e711-9401-00155d614304,1,0,7.00
dividend paying,20180605,16,56,a8a775d3-7841-e711-8106-5065f38afab1,1,0,13.00
divorce,20180529,10,52,996f0b3f-bc5e-e811-8122-c4346bdca201,1,0,0.00
dol,20180523,12,42,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,15.00
dol,20180523,13,41,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,218.00
dol,20180523,14,05,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,27.00
DOL,20180522,09,49,U001H52,1,0,0.00
DOL,20180523,12,15,f0e3cb73-29c3-e711-8108-c4346bdca201,1,0,28.00
DOL,20180607,11,43,U0011PE,1,0,0.00
dol rule,20180503,16,49,4a946f66-fcfa-e711-810a-c4346bdcf291,1,0,23.00
dometci equity bias,20180518,06,35,U001HJB,1,0,0.00
donnie,20180509,18,34,Anonymous-User,1,0,9.00
donnie either,20180509,18,36,Anonymous-User,1,1,54.00
donor advised fund,20180525,12,51,3b7a3810-6b3a-e711-8104-5065f38a5961,1,0,16.00
donor advised fund,20180612,10,23,Anonymous-User,1,22,1724.00
down markets,20180620,14,48,U000O07,1,0,58.00
downside,20180607,10,34,U000ZWA,1,0,0.00
